S.No.,Log File,spark_driver_start_time, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),Driver Memory,Executor Memory,Memory Store Capacity,Job Result
167,application_1513303661803_25527_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
168,application_1513303661803_18780_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1983.0MB, NA
169,application_1513303661803_26763_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
170,application_1513303661803_22098_asrd.cp.big.data.services.team.log,1513749722, 17/12/20 06:02:07,1513749727,5, 17/12/20 06:01:57, 12g, 10G, 8.4GB, Job completed successfully
171,application_1513303661803_19649_asrd.cp.big.data.services.team.log,1513685752, 17/12/19 12:15:57,1513685757,5, 17/12/19 12:15:47, 12g, 2G, 8.4GB, Job completed successfully
172,application_1513303661803_21058_asrd.cp.big.data.services.team.log,1513730446, 17/12/20 00:40:51,1513730451,5, 17/12/20 00:40:31, 12g, 6144M, 8.4GB, Job completed successfully
173,application_1513303661803_24087_asrd.cp.big.data.services.team.log,1513794145, 17/12/20 18:22:33,1513794153,8, 17/12/20 18:22:18, 12g, 6144M, 8.4GB, Job completed successfully
174,application_1513303661803_25335_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
175,application_1513303661803_25248_asrd.cp.big.data.services.team.log,1513822945, 17/12/21 02:22:34,1513822954,9, 17/12/21 02:22:20, 12g, 12480M, 8.4GB, Job completed successfully
176,application_1513303661803_21641_asrd.cp.big.data.services.team.log,1513739533, 17/12/20 03:12:18,1513739538,5, 17/12/20 03:12:08, 12g, 5G, 8.4GB, Job completed successfully
177,application_1513303661803_20456_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
178,application_1513303661803_25863_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
179,application_1513303661803_19979_asrd.cp.big.data.services.team.log,1513698094, 17/12/19 15:41:39,1513698099,5, 17/12/19 15:41:29, 12G, 1G, 8.4GB, Job completed successfully
180,application_1513303661803_24418_asrd.cp.big.data.services.team.log,1513800492, 17/12/20 20:08:19,1513800499,7, 17/12/20 20:08:07, 6G, 4G, 4.1GB, Job completed successfully
181,application_1513303661803_18829_asrd.cp.big.data.services.team.log,1513649661, 17/12/19 02:14:26,1513649666,5, 17/12/19 02:14:16, 10G, 10G, 7.0GB, Job completed successfully
182,application_1513303661803_23199_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
183,application_1513303661803_18804_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
184,application_1513303661803_22738_asrd.cp.big.data.services.team.log,1513770356, 17/12/20 11:46:01,1513770361,5, 17/12/20 11:45:50, 15G, 10G, 10.6GB, Job completed successfully
185,application_1513303661803_20852_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 8.4GB, NA
186,application_1513303661803_25085_asrd.cp.big.data.services.team.log,1513821655, 17/12/21 02:01:00,1513821660,5, 17/12/21 02:00:51, 12g, 6144M, 8.4GB, Job completed successfully
187,application_1513303661803_21501_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
188,application_1513303661803_21664_asrd.cp.big.data.services.team.log,1513739621, 17/12/20 03:14:39,1513739679,58, 17/12/20 03:13:37, 12g, 10G, 8.4GB, Job completed successfully
189,application_1513303661803_22511_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 5.5GB, NA
190,application_1513303661803_18614_asrd.cp.big.data.services.team.log,1513645308, 17/12/19 01:01:54,1513645314,6, 17/12/19 01:01:44, 12g, 10G, 8.4GB, Job completed successfully
191,application_1513303661803_21145_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 12.7GB, NA
192,application_1513303661803_21030_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
193,application_1513303661803_23230_asrd.cp.big.data.services.team.log,1513784813, 17/12/20 15:47:00,1513784820,7, 17/12/20 15:46:49, 12g, 6144M, 8.4GB, Job completed successfully
194,application_1513303661803_20734_asrd.cp.big.data.services.team.log,1513726228, 17/12/19 23:30:33,1513726233,5, 17/12/19 23:30:24, 15G, 10G, 10.6GB, Job completed successfully
195,application_1513303661803_22733_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
196,application_1513303661803_23504_asrd.cp.big.data.services.team.log,1513787256, 17/12/20 16:27:41,1513787261,5, 17/12/20 16:27:33, 12g, 6144M, 8.4GB, Job completed successfully
197,application_1513303661803_23695_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
198,application_1513303661803_22467_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
199,application_1513303661803_23900_asrd.cp.big.data.services.team.log,1513791954, 17/12/20 17:45:59,1513791959,5, 17/12/20 17:45:51, 12g, 6144M, 8.4GB, Job completed successfully
200,application_1513303661803_21358_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
201,application_1513303661803_24343_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
202,application_1513303661803_21468_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1247.6MB, NA
203,application_1513303661803_18795_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 3.4GB, NA
204,application_1513303661803_26834_asrd.cp.big.data.services.team.log,1513901997, 17/12/22 00:20:03,1513902003,6, 17/12/22 00:19:53, 12g, 6144M, 8.4GB, Job completed successfully
205,application_1513303661803_22797_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
206,application_1513303661803_20459_asrd.cp.big.data.services.team.log,1513711040, 17/12/19 19:17:25,1513711045,5, 17/12/19 19:17:06, 2G, 10G, 1247.6MB, Job completed successfully
207,application_1513303661803_24116_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
208,application_1513303661803_24370_asrd.cp.big.data.services.team.log,1513799020, 17/12/20 19:43:45,1513799025,5, 17/12/20 19:43:36, 12g, 6144M, 8.4GB, Job completed successfully
209,application_1513303661803_19822_asrd.cp.big.data.services.team.log,1513693326, 17/12/19 14:23:07,1513693387,61, 17/12/19 14:22:02, 12G, 10G, 8.4GB, Job completed successfully
210,application_1513303661803_25249_asrd.cp.big.data.services.team.log,1513822944, 17/12/21 02:22:34,1513822954,10, 17/12/21 02:22:20, 12g, 1G, 8.4GB, Job completed successfully
211,application_1513303661803_21548_asrd.cp.big.data.services.team.log,1513738850, 17/12/20 03:01:01,1513738861,11, 17/12/20 03:00:47, 12g, 6144M, 8.4GB, Job completed successfully
212,application_1513303661803_21329_asrd.cp.big.data.services.team.log,1513735280, 17/12/20 02:01:25,1513735285,5, 17/12/20 02:01:15, 512M, 512M, 143.6MB, Job completed successfully
213,application_1513303661803_23136_asrd.cp.big.data.services.team.log,1513783763, 17/12/20 15:29:56,1513783796,33, 17/12/20 15:29:20, 12g, 10G, 8.4GB, Job completed successfully
214,application_1513303661803_25892_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1983.0MB, NA
215,application_1513303661803_24350_asrd.cp.big.data.services.team.log,1513798583, 17/12/20 19:36:28,1513798588,5, 17/12/20 19:36:20, 12g, 6144M, 8.4GB, Job completed successfully
216,application_1513303661803_19313_asrd.cp.big.data.services.team.log,1513659662, 17/12/19 05:01:07,1513659667,5, 17/12/19 05:00:57, 512M, 512M, 143.6MB, Job completed successfully
217,application_1513303661803_18076_asrd.cp.big.data.services.team.log,1513639061, 17/12/18 23:17:46,1513639066,5, 17/12/18 23:17:36, 12G, 16G, 8.4GB, Job completed successfully
218,application_1513303661803_24097_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
219,application_1513303661803_22836_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
220,application_1513303661803_18680_asrd.cp.big.data.services.team.log,1513645880, 17/12/19 01:11:25,1513645885,5, 17/12/19 01:11:16, 20G, 10G, 14.2GB, Job completed successfully
221,application_1513303661803_22115_asrd.cp.big.data.services.team.log,1513749798, 17/12/20 06:03:23,1513749803,5, 17/12/20 06:03:15, 12g, 6144M, 8.4GB, Job completed successfully
222,application_1513303661803_18250_asrd.cp.big.data.services.team.log,1513642362, 17/12/19 00:12:47,1513642367,5, 17/12/19 00:12:24, 12g, 6144M, 8.4GB, Job completed successfully
223,application_1513303661803_20216_asrd.cp.big.data.services.team.log,1513703626, 17/12/19 17:13:51,1513703631,5, 17/12/19 17:13:41, 6G, 4G, 4.1GB, Job completed successfully
224,application_1513303661803_22857_asrd.cp.big.data.services.team.log,1513778477, 17/12/20 14:01:22,1513778482,5, 17/12/20 14:01:12, 512M, 512M, 143.6MB, Job completed successfully
225,application_1513303661803_23511_asrd.cp.big.data.services.team.log,1513787366, 17/12/20 16:29:33,1513787373,7, 17/12/20 16:29:23, 12g, 6144M, 8.4GB, Job completed successfully
226,application_1513303661803_23976_asrd.cp.big.data.services.team.log,1513792863, 17/12/20 18:01:09,1513792869,6, 17/12/20 18:01:00, 12g, 6144M, 8.4GB, Job completed successfully
227,application_1513303661803_25240_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
228,application_1513303661803_21005_asrd.cp.big.data.services.team.log,1513730124, 17/12/20 00:35:29,1513730129,5, 17/12/20 00:35:20, 12g, 1G, 8.4GB, Job completed successfully
229,application_1513303661803_21868_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
230,application_1513303661803_19936_asrd.cp.big.data.services.team.log,1513697034, 17/12/19 15:24:33,1513697073,39, 17/12/19 15:23:49, 15G, 6144M, 10.6GB, Job completed successfully
231,application_1513303661803_21088_asrd.cp.big.data.services.team.log,1513730493, 17/12/20 00:41:38,1513730498,5, 17/12/20 00:41:28, 10G, 10G, 7.0GB, Job completed successfully
232,application_1513303661803_19942_asrd.cp.big.data.services.team.log,1513697043, 17/12/19 15:24:29,1513697069,26, 17/12/19 15:23:57, 6G, 4G, 4.1GB, Job completed successfully
233,application_1513303661803_23099_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
234,application_1513303661803_22356_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
235,application_1513303661803_19745_asrd.cp.big.data.services.team.log,1513692332, 17/12/19 14:05:37,1513692337,5, 17/12/19 14:05:29, 18G, 22G, 12.7GB, Job completed successfully
236,application_1513303661803_18772_asrd.cp.big.data.services.team.log,1513648861, 17/12/19 02:01:08,1513648868,7, 17/12/19 02:00:57, 12g, 1G, 8.4GB, Job completed successfully
237,application_1513303661803_23219_asrd.cp.big.data.services.team.log,1513784690, 17/12/20 15:44:55,1513784695,5, 17/12/20 15:44:47, 12g, 6144M, 8.4GB, Job completed successfully
