,S.No.,Log File, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),spark_driver_start_time,Driver Memory (MB),Executor Memory (MB),Memory Store Capacity (MB),Job Result
69,70,application_1513303661803_19559_asrd.cp.big.data.services.team.log,1513677648.0, 17/12/19 10:00:53,1513677653,5, 17/12/19 10:00:45,512.0,512.0,143.6, Job completed successfully
70,71,application_1513303661803_22371_asrd.cp.big.data.services.team.log,1513753284.0, 17/12/20 07:01:30,1513753290,6, 17/12/20 07:01:18,512.0,512.0,143.6, Job completed successfully
73,74,application_1513303661803_26208_asrd.cp.big.data.services.team.log,1513871287.0, 17/12/21 15:48:16,1513871296,9, 17/12/21 15:48:00,12288.0,1024.0,8601.6, Job completed successfully
76,77,application_1513303661803_22746_asrd.cp.big.data.services.team.log,1513771270.0, 17/12/20 12:01:15,1513771275,5, 17/12/20 12:01:05,512.0,512.0,143.6, Job completed successfully
80,81,application_1513303661803_28012_asrd.cp.big.data.services.team.log,1513940668.0, 17/12/22 11:04:34,1513940674,6, 17/12/22 11:04:24,12288.0,6144.0,8601.6, Job completed successfully
81,82,application_1513303661803_20514_asrd.cp.big.data.services.team.log,1513713661.0, 17/12/19 20:01:06,1513713666,5, 17/12/19 20:00:55,512.0,512.0,143.6, Job completed successfully
83,84,application_1513303661803_23092_asrd.cp.big.data.services.team.log,1513783221.0, 17/12/20 15:20:33,1513783233,12, 17/12/20 15:20:17,15360.0,10240.0,10854.4, Job completed successfully
87,88,application_1513303661803_19600_asrd.cp.big.data.services.team.log,1513681276.0, 17/12/19 11:01:21,1513681281,5, 17/12/19 11:01:09,512.0,512.0,143.6, Job completed successfully
88,89,application_1513303661803_18141_asrd.cp.big.data.services.team.log,1513641680.0, 17/12/19 00:01:29,1513641689,9, 17/12/19 00:01:12,3072.0,3072.0,1983.0, Job completed successfully
91,92,application_1513303661803_20914_asrd.cp.big.data.services.team.log,1513729076.0, 17/12/20 00:18:08,1513729088,12, 17/12/20 00:17:52,12288.0,12288.0,8601.6, Job failed
92,93,application_1513303661803_25866_asrd.cp.big.data.services.team.log,1513854408.0, 17/12/21 11:06:53,1513854413,5, 17/12/21 11:06:44,12288.0,6144.0,8601.6, Job completed successfully
93,94,application_1513303661803_20393_asrd.cp.big.data.services.team.log,1513710082.0, 17/12/19 19:01:27,1513710087,5, 17/12/19 19:01:16,12288.0,12288.0,8601.6, Job completed successfully
94,95,application_1513303661803_21932_asrd.cp.big.data.services.team.log,1513747153.0, 17/12/20 05:19:19,1513747159,6, 17/12/20 05:19:04,12288.0,6144.0,8601.6, Job completed successfully
95,96,application_1513303661803_19536_asrd.cp.big.data.services.team.log,1513676597.0, 17/12/19 09:43:23,1513676603,6, 17/12/19 09:43:13,12288.0,10240.0,8601.6, Job completed successfully
96,97,application_1513303661803_23459_asrd.cp.big.data.services.team.log,1513786775.0, 17/12/20 16:19:40,1513786780,5, 17/12/20 16:19:31,12288.0,6144.0,8601.6, Job completed successfully
103,104,application_1513303661803_22557_asrd.cp.big.data.services.team.log,1513760451.0, 17/12/20 09:00:56,1513760456,5, 17/12/20 09:00:47,12288.0,3072.0,8601.6, Job completed successfully
106,107,application_1513303661803_18625_asrd.cp.big.data.services.team.log,,,,, 17/12/19 01:01:56,12288.0,10240.0,8601.6, Job failed
110,111,application_1513303661803_21158_asrd.cp.big.data.services.team.log,1513731142.0, 17/12/20 00:52:27,1513731147,5, 17/12/20 00:52:18,12288.0,1024.0,8601.6, Job completed successfully
112,113,application_1513303661803_19280_asrd.cp.big.data.services.team.log,1513658534.0, 17/12/19 04:42:19,1513658539,5, 17/12/19 04:42:09,5120.0,5120.0,3481.6, Job completed successfully
114,115,application_1513303661803_19535_asrd.cp.big.data.services.team.log,1513676595.0, 17/12/19 09:43:21,1513676601,6, 17/12/19 09:43:10,12288.0,10240.0,8601.6, Job completed successfully
117,118,application_1513303661803_23087_asrd.cp.big.data.services.team.log,1513783159.0, 17/12/20 15:19:25,1513783165,6, 17/12/20 15:19:15,12288.0,6144.0,8601.6, Job completed successfully
120,121,application_1513303661803_21599_asrd.cp.big.data.services.team.log,1513739160.0, 17/12/20 03:06:05,1513739165,5, 17/12/20 03:05:55,12288.0,12480.0,8601.6, Job completed successfully
121,122,application_1513303661803_21222_asrd.cp.big.data.services.team.log,1513731782.0, 17/12/20 01:03:07,1513731787,5, 17/12/20 01:02:59,12288.0,6144.0,8601.6, Job failed
122,123,application_1513303661803_23825_asrd.cp.big.data.services.team.log,1513790832.0, 17/12/20 17:27:16,1513790836,4, 17/12/20 17:27:09,12288.0,6144.0,8601.6, Job completed successfully
123,124,application_1513303661803_20390_asrd.cp.big.data.services.team.log,1513710071.0, 17/12/19 19:01:16,1513710076,5, 17/12/19 19:01:07,1024.0,1024.0,511.5, Job failed
125,126,application_1513303661803_20764_asrd.cp.big.data.services.team.log,1513728132.0, 17/12/20 00:02:21,1513728141,9, 17/12/20 00:02:06,15360.0,12288.0,10854.4, Job completed successfully
