,S.No.,Log File, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),spark_driver_start_time,Driver Memory (MB),Executor Memory (MB),Memory Store Capacity (MB),Job Result
265,266,application_1513303661803_22186_asrd.cp.big.data.services.team.log,1513750683.0, 17/12/20 06:18:08,1513750688,5, 17/12/20 06:18:00,12288.0,6144.0,8601.6, Job completed successfully
267,268,application_1513303661803_18281_asrd.cp.big.data.services.team.log,1513642623.0, 17/12/19 00:17:15,1513642635,12, 17/12/19 00:16:58,12288.0,6144.0,8601.6, Job completed successfully
268,269,application_1513303661803_19701_asrd.cp.big.data.services.team.log,1513692086.0, 17/12/19 14:01:31,1513692091,5, 17/12/19 14:01:16,512.0,512.0,143.6, Job completed successfully
269,270,application_1513303661803_19375_asrd.cp.big.data.services.team.log,1513663368.0, 17/12/19 06:02:53,1513663373,5, 17/12/19 06:02:44,12288.0,6144.0,8601.6, Job completed successfully
270,271,application_1513303661803_23625_asrd.cp.big.data.services.team.log,1513788735.0, 17/12/20 16:52:20,1513788740,5, 17/12/20 16:52:12,12288.0,6144.0,8601.6, Job completed successfully
272,273,application_1513303661803_23069_asrd.cp.big.data.services.team.log,1513782539.0, 17/12/20 15:10:02,1513782602,63, 17/12/20 15:08:56,12288.0,6144.0,8601.6, Job completed successfully
274,275,application_1513303661803_19835_asrd.cp.big.data.services.team.log,1513694192.0, 17/12/19 14:38:14,1513694294,102, 17/12/19 14:36:26,12288.0,1024.0,8601.6, Job completed successfully
275,276,application_1513303661803_20334_asrd.cp.big.data.services.team.log,1513707118.0, 17/12/19 18:12:03,1513707123,5, 17/12/19 18:11:54,12288.0,6144.0,8601.6, Job completed successfully
277,278,application_1513303661803_18884_asrd.cp.big.data.services.team.log,1513649799.0, 17/12/19 02:16:45,1513649805,6, 17/12/19 02:16:33,12288.0,1024.0,8601.6, Job completed successfully
280,281,application_1513303661803_22306_asrd.cp.big.data.services.team.log,1513752454.0, 17/12/20 06:47:39,1513752459,5, 17/12/20 06:47:30,12288.0,10240.0,8601.6, Job completed successfully
282,283,application_1513303661803_22024_asrd.cp.big.data.services.team.log,1513748895.0, 17/12/20 05:48:22,1513748902,7, 17/12/20 05:48:12,12288.0,6144.0,8601.6, Job completed successfully
283,284,application_1513303661803_17923_asrd.cp.big.data.services.team.log,1513636873.0, 17/12/18 22:41:18,1513636878,5, 17/12/18 22:41:08,12288.0,10240.0,8601.6, Job completed successfully
284,285,application_1513303661803_19081_asrd.cp.big.data.services.team.log,1513653315.0, 17/12/19 03:15:20,1513653320,5, 17/12/19 03:15:10,12288.0,12480.0,8601.6, Job completed successfully
285,286,application_1513303661803_23159_asrd.cp.big.data.services.team.log,1513784162.0, 17/12/20 15:36:07,1513784167,5, 17/12/20 15:35:59,12288.0,6144.0,8601.6, Job completed successfully
290,291,application_1513303661803_18136_asrd.cp.big.data.services.team.log,1513641662.0, 17/12/19 00:01:08,1513641668,6, 17/12/19 00:00:58,15360.0,10240.0,10854.4, Job completed successfully
295,296,application_1513303661803_19055_asrd.cp.big.data.services.team.log,1513652752.0, 17/12/19 03:05:57,1513652757,5, 17/12/19 03:05:48,12288.0,6144.0,8601.6, Job completed successfully
296,297,application_1513303661803_24661_asrd.cp.big.data.services.team.log,1513815361.0, 17/12/21 00:16:06,1513815366,5, 17/12/21 00:15:57,12288.0,2048.0,8601.6, Job completed successfully
298,299,application_1513303661803_21277_asrd.cp.big.data.services.team.log,1513732851.0, 17/12/20 01:20:56,1513732856,5, 17/12/20 01:20:47,12288.0,10240.0,8601.6, Job completed successfully
299,300,application_1513303661803_19141_asrd.cp.big.data.services.team.log,1513653849.0, 17/12/19 03:24:14,1513653854,5, 17/12/19 03:24:05,10240.0,10240.0,7168.0, Job completed successfully
301,302,application_1513303661803_23014_asrd.cp.big.data.services.team.log,1513781425.0, 17/12/20 14:52:37,1513781557,132, 17/12/20 14:50:18,15360.0,10240.0,10854.4, Job completed successfully
306,307,application_1513303661803_24195_asrd.cp.big.data.services.team.log,1513795942.0, 17/12/20 18:52:27,1513795947,5, 17/12/20 18:52:19,12288.0,6144.0,8601.6, Job completed successfully
309,310,application_1513303661803_20479_asrd.cp.big.data.services.team.log,1513711731.0, 17/12/19 19:28:56,1513711736,5, 17/12/19 19:28:47,10240.0,10240.0,7168.0, Job completed successfully
311,312,application_1513303661803_20178_asrd.cp.big.data.services.team.log,1513702876.0, 17/12/19 17:01:22,1513702882,6, 17/12/19 17:01:12,512.0,512.0,143.6, Job completed successfully
312,313,application_1513303661803_22934_asrd.cp.big.data.services.team.log,1513778701.0, 17/12/20 14:05:06,1513778706,5, 17/12/20 14:04:57,4096.0,4096.0,2764.8, Job completed successfully
313,314,application_1513303661803_19077_asrd.cp.big.data.services.team.log,1513653305.0, 17/12/19 03:15:10,1513653310,5, 17/12/19 03:15:01,20480.0,10240.0,14540.8, Job completed successfully
317,318,log_106179819.txt,1509928167.0, 17/11/06 00:29:33,1509928173,6, 17/11/06 00:29:25,18432.0,22528.0,9523.2, Job failed
319,320,application_1513303661803_20567_asrd.cp.big.data.services.team.log,1513715022.0, 17/12/19 20:23:47,1513715027,5, 17/12/19 20:23:36,3072.0,10240.0,1983.0, Job completed successfully
320,321,application_1513303661803_20710_asrd.cp.big.data.services.team.log,1513724492.0, 17/12/19 23:01:51,1513724511,19, 17/12/19 23:01:22,512.0,512.0,143.6, Job completed successfully
321,322,application_1513303661803_24030_asrd.cp.big.data.services.team.log,1513793435.0, 17/12/20 18:10:40,1513793440,5, 17/12/20 18:10:30,12288.0,6144.0,8601.6, Job completed successfully
324,325,application_1513303661803_19146_asrd.cp.big.data.services.team.log,1513653854.0, 17/12/19 03:24:19,1513653859,5, 17/12/19 03:24:08,10240.0,5120.0,7168.0, Job completed successfully
325,326,application_1513303661803_24047_asrd.cp.big.data.services.team.log,1513793648.0, 17/12/20 18:14:15,1513793655,7, 17/12/20 18:14:05,12288.0,6144.0,8601.6, Job completed successfully
332,333,application_1513303661803_20366_asrd.cp.big.data.services.team.log,1513709019.0, 17/12/19 18:43:44,1513709024,5, 17/12/19 18:43:34,15360.0,6144.0,10854.4, Job completed successfully
334,335,application_1513303661803_23882_asrd.cp.big.data.services.team.log,1513791603.0, 17/12/20 17:40:17,1513791617,14, 17/12/20 17:39:59,12288.0,6144.0,8601.6, Job completed successfully
337,338,application_1513303661803_19768_asrd.cp.big.data.services.team.log,1513692734.0, 17/12/19 14:12:19,1513692739,5, 17/12/19 14:12:00,12288.0,12288.0,8601.6, Job completed successfully
339,340,application_1513303661803_20354_asrd.cp.big.data.services.team.log,1513707927.0, 17/12/19 18:25:32,1513707932,5, 17/12/19 18:25:24,12288.0,6144.0,8601.6, Job completed successfully
340,341,application_1513303661803_21152_asrd.cp.big.data.services.team.log,1513731003.0, 17/12/20 00:50:08,1513731008,5, 17/12/20 00:49:58,15360.0,10240.0,10854.4, Job completed successfully
342,343,application_1513303661803_20803_asrd.cp.big.data.services.team.log,1513728607.0, 17/12/20 00:10:24,1513728624,17, 17/12/20 00:09:45,12288.0,6144.0,8601.6, Job completed successfully
343,344,application_1513303661803_24167_asrd.cp.big.data.services.team.log,1513795491.0, 17/12/20 18:44:56,1513795496,5, 17/12/20 18:44:48,12288.0,6144.0,8601.6, Job completed successfully
344,345,application_1513303661803_18922_asrd.cp.big.data.services.team.log,1513649965.0, 17/12/19 02:19:51,1513649991,26, 17/12/19 02:19:21,12288.0,10240.0,8601.6, Job failed
346,347,application_1513303661803_22004_asrd.cp.big.data.services.team.log,1513748656.0, 17/12/20 05:44:22,1513748662,6, 17/12/20 05:44:10,15360.0,10240.0,10854.4, Job completed successfully
348,349,application_1513303661803_21850_asrd.cp.big.data.services.team.log,1513746028.0, 17/12/20 05:00:33,1513746033,5, 17/12/20 05:00:25,12288.0,6144.0,8601.6, Job completed successfully
350,351,application_1513303661803_27991_asrd.cp.big.data.services.team.log,1513940452.0, 17/12/22 11:00:57,1513940457,5, 17/12/22 11:00:48,12288.0,3072.0,8601.6, Job completed successfully
354,355,application_1513303661803_24146_asrd.cp.big.data.services.team.log,1513795080.0, 17/12/20 18:38:05,1513795085,5, 17/12/20 18:37:57,12288.0,6144.0,8601.6, Job completed successfully
358,359,application_1513303661803_20954_asrd.cp.big.data.services.team.log,1513729889.0, 17/12/20 00:31:34,1513729894,5, 17/12/20 00:31:25,12288.0,5120.0,8601.6, Job completed successfully
359,360,application_1513303661803_25179_asrd.cp.big.data.services.team.log,1513822276.0, 17/12/21 02:11:24,1513822284,8, 17/12/21 02:11:08,12288.0,6144.0,8601.6, Job completed successfully
360,361,application_1513303661803_24450_asrd.cp.big.data.services.team.log,1513803680.0, 17/12/20 21:01:25,1513803685,5, 17/12/20 21:01:16,6144.0,3072.0,4198.4, Job completed successfully
362,363,application_1513303661803_24597_asrd.cp.big.data.services.team.log,1513814837.0, 17/12/21 00:08:43,1513814923,86, 17/12/21 00:07:12,12288.0,6144.0,8601.6, Job completed successfully
363,364,application_1513303661803_22651_asrd.cp.big.data.services.team.log,1513764918.0, 17/12/20 10:15:23,1513764923,5, 17/12/20 10:15:11,4096.0,12288.0,2764.8, Job completed successfully
364,365,application_1513303661803_20267_asrd.cp.big.data.services.team.log,1513705041.0, 17/12/19 17:37:42,1513705062,21, 17/12/19 17:37:10,15360.0,10240.0,10854.4, Job completed successfully
365,366,application_1513303661803_25285_asrd.cp.big.data.services.team.log,1513825247.0, 17/12/21 03:00:52,1513825252,5, 17/12/21 03:00:43,12288.0,3072.0,8601.6, Job completed successfully
369,370,application_1513303661803_22786_asrd.cp.big.data.services.team.log,1513773104.0, 17/12/20 12:31:49,1513773109,5, 17/12/20 12:31:40,15360.0,10240.0,10854.4, Job completed successfully
370,371,application_1513303661803_21425_asrd.cp.big.data.services.team.log,1513736007.0, 17/12/20 02:13:32,1513736012,5, 17/12/20 02:13:21,12288.0,6144.0,8601.6, Job completed successfully
371,372,application_1513303661803_22015_asrd.cp.big.data.services.team.log,1513748830.0, 17/12/20 05:47:15,1513748835,5, 17/12/20 05:47:07,12288.0,6144.0,8601.6, Job completed successfully
374,375,application_1513303661803_24522_asrd.cp.big.data.services.team.log,1513811349.0, 17/12/20 23:09:14,1513811354,5, 17/12/20 23:09:04,15360.0,10240.0,10854.4, Job completed successfully
378,379,application_1513303661803_25845_asrd.cp.big.data.services.team.log,1513854065.0, 17/12/21 11:01:11,1513854071,6, 17/12/21 11:01:01,12288.0,1024.0,8601.6, Job completed successfully
383,384,application_1513303661803_19783_asrd.cp.big.data.services.team.log,1513692969.0, 17/12/19 14:17:14,1513693034,65, 17/12/19 14:15:56,20480.0,10240.0,14540.8, Job completed successfully
388,389,application_1513303661803_19680_asrd.cp.big.data.services.team.log,1513688783.0, 17/12/19 13:06:30,1513688790,7, 17/12/19 13:06:12,12288.0,6144.0,8601.6, Job completed successfully
390,391,log_105911929.txt,1509810122.0, 17/11/04 15:42:07,1509810127,5, 17/11/04 15:41:49,18432.0,22528.0,9523.2, Job failed
391,392,application_1513303661803_22438_asrd.cp.big.data.services.team.log,1513754234.0, 17/12/20 07:17:18,1513754238,4, 17/12/20 07:17:11,12288.0,6144.0,8601.6, Job completed successfully
392,393,application_1513303661803_23376_asrd.cp.big.data.services.team.log,1513786252.0, 17/12/20 16:10:59,1513786259,7, 17/12/20 16:10:49,12288.0,10240.0,8601.6, Job completed successfully
395,396,application_1513303661803_20868_asrd.cp.big.data.services.team.log,1513728956.0, 17/12/20 00:16:02,1513728962,6, 17/12/20 00:15:53,12288.0,1024.0,8601.6, Job completed successfully
396,397,application_1513303661803_24238_asrd.cp.big.data.services.team.log,1513796451.0, 17/12/20 19:00:56,1513796456,5, 17/12/20 19:00:47,12288.0,6144.0,8601.6, Job completed successfully
398,399,application_1513303661803_17935_asrd.cp.big.data.services.team.log,1513637069.0, 17/12/18 22:44:34,1513637074,5, 17/12/18 22:44:26,15360.0,12288.0,10854.4, Job completed successfully
399,400,application_1513303661803_25471_asrd.cp.big.data.services.team.log,1513827883.0, 17/12/21 03:44:48,1513827888,5, 17/12/21 03:44:39,10240.0,13312.0,7168.0, Job completed successfully
403,404,application_1513303661803_25321_asrd.cp.big.data.services.team.log,1513825556.0, 17/12/21 03:06:03,1513825563,7, 17/12/21 03:05:52,12288.0,10240.0,8601.6, Job completed successfully
404,405,application_1513303661803_23023_asrd.cp.big.data.services.team.log,1513782191.0, 17/12/20 15:08:23,1513782503,312, 17/12/20 15:03:07,12288.0,6144.0,8601.6, Job completed successfully
406,407,application_1513303661803_25769_asrd.cp.big.data.services.team.log,1513846804.0, 17/12/21 09:00:09,1513846809,5, 17/12/21 08:59:59,8192.0,8192.0,5632.0, Job completed successfully
407,408,application_1513303661803_21187_asrd.cp.big.data.services.team.log,1513731694.0, 17/12/20 01:01:39,1513731699,5, 17/12/20 01:01:28,12288.0,3072.0,8601.6, Job completed successfully
408,409,application_1513303661803_20641_asrd.cp.big.data.services.team.log,1513717731.0, 17/12/19 21:08:56,1513717736,5, 17/12/19 21:08:46,6144.0,4096.0,4198.4, Job completed successfully
411,412,application_1513303661803_20213_asrd.cp.big.data.services.team.log,1513703585.0, 17/12/19 17:13:10,1513703590,5, 17/12/19 17:13:00,12288.0,6144.0,8601.6, Job completed successfully
413,414,application_1513303661803_25208_asrd.cp.big.data.services.team.log,1513822662.0, 17/12/21 02:18:46,1513822726,64, 17/12/21 02:17:38,12288.0,6144.0,8601.6, Job completed successfully
415,416,application_1513303661803_18659_asrd.cp.big.data.services.team.log,1513645569.0, 17/12/19 01:06:22,1513645582,13, 17/12/19 01:06:05,12288.0,10240.0,8601.6, Job completed successfully
419,420,application_1513303661803_23674_asrd.cp.big.data.services.team.log,1513789255.0, 17/12/20 17:01:00,1513789260,5, 17/12/20 17:00:50,12288.0,6144.0,8601.6, Job completed successfully
420,421,application_1513303661803_18193_asrd.cp.big.data.services.team.log,1513641999.0, 17/12/19 00:06:44,1513642004,5, 17/12/19 00:06:31,12288.0,6144.0,8601.6, Job completed successfully
424,425,application_1513303661803_20598_asrd.cp.big.data.services.team.log,1513716508.0, 17/12/19 20:48:35,1513716515,7, 17/12/19 20:48:26,12288.0,12288.0,8601.6, Job completed successfully
430,431,application_1513303661803_19416_asrd.cp.big.data.services.team.log,1513667071.0, 17/12/19 07:04:35,1513667075,4, 17/12/19 07:04:24,12288.0,6144.0,8601.6, Job completed successfully
432,433,application_1513303661803_19063_asrd.cp.big.data.services.team.log,1513652997.0, 17/12/19 03:10:02,1513653002,5, 17/12/19 03:09:53,12288.0,6144.0,8601.6, Job completed successfully
434,435,application_1513303661803_24123_asrd.cp.big.data.services.team.log,1513794627.0, 17/12/20 18:30:34,1513794634,7, 17/12/20 18:30:22,12288.0,6144.0,8601.6, Job completed successfully
435,436,application_1513303661803_23102_asrd.cp.big.data.services.team.log,1513783521.0, 17/12/20 15:25:27,1513783527,6, 17/12/20 15:25:16,12288.0,6144.0,8601.6, Job completed successfully
436,437,application_1513303661803_25145_asrd.cp.big.data.services.team.log,1513822042.0, 17/12/21 02:07:27,1513822047,5, 17/12/21 02:07:18,12288.0,12480.0,8601.6, Job completed successfully
437,438,application_1513303661803_17842_asrd.cp.big.data.services.team.log,1513634744.0, 17/12/18 22:05:49,1513634749,5, 17/12/18 22:05:38,12288.0,6144.0,8601.6, Job completed successfully
438,439,application_1513303661803_24680_asrd.cp.big.data.services.team.log,1513815389.0, 17/12/21 00:16:36,1513815396,7, 17/12/21 00:16:25,12288.0,6144.0,8601.6, Job completed successfully
440,441,application_1513303661803_22843_asrd.cp.big.data.services.team.log,1513777630.0, 17/12/20 13:47:15,1513777635,5, 17/12/20 13:47:06,15360.0,10240.0,10854.4, Job completed successfully
441,442,application_1513303661803_19957_asrd.cp.big.data.services.team.log,1513697572.0, 17/12/19 15:32:57,1513697577,5, 17/12/19 15:32:34,15360.0,6144.0,10854.4, Job completed successfully
443,444,application_1513303661803_19261_asrd.cp.big.data.services.team.log,1513657390.0, 17/12/19 04:23:17,1513657397,7, 17/12/19 04:23:04,20480.0,10240.0,14540.8, Job completed successfully
448,449,application_1513303661803_22695_asrd.cp.big.data.services.team.log,1513767672.0, 17/12/20 11:01:17,1513767677,5, 17/12/20 11:01:07,512.0,512.0,143.6, Job completed successfully
452,453,application_1513303661803_21996_asrd.cp.big.data.services.team.log,1513748527.0, 17/12/20 05:42:13,1513748533,6, 17/12/20 05:42:03,12288.0,6144.0,8601.6, Job completed successfully
453,454,application_1513303661803_19185_asrd.cp.big.data.services.team.log,1513654499.0, 17/12/19 03:35:22,1513654522,23, 17/12/19 03:34:55,20480.0,12288.0,14540.8, Job completed successfully
454,455,application_1513303661803_19019_asrd.cp.big.data.services.team.log,1513652291.0, 17/12/19 02:58:16,1513652296,5, 17/12/19 02:58:06,12288.0,6144.0,8601.6, Job completed successfully
455,456,application_1513303661803_27976_asrd.cp.big.data.services.team.log,1513936973.0, 17/12/22 10:03:03,1513936983,10, 17/12/22 10:02:49,12288.0,6144.0,8601.6, Job completed successfully
456,457,application_1513303661803_26136_asrd.cp.big.data.services.team.log,1513869514.0, 17/12/21 15:18:39,1513869519,5, 17/12/21 15:18:30,12288.0,10240.0,8601.6, Job completed successfully
461,462,application_1513303661803_24082_asrd.cp.big.data.services.team.log,1513794102.0, 17/12/20 18:21:49,1513794109,7, 17/12/20 18:21:38,12288.0,6144.0,8601.6, Job completed successfully
462,463,application_1513303661803_23709_asrd.cp.big.data.services.team.log,1513789554.0, 17/12/20 17:05:59,1513789559,5, 17/12/20 17:05:50,12288.0,6144.0,8601.6, Job completed successfully
465,466,application_1513303661803_22901_asrd.cp.big.data.services.team.log,1513778600.0, 17/12/20 14:03:31,1513778611,11, 17/12/20 14:03:17,18432.0,22528.0,13004.8, Job completed successfully
467,468,application_1513303661803_25361_asrd.cp.big.data.services.team.log,1513825888.0, 17/12/21 03:11:33,1513825893,5, 17/12/21 03:11:24,12288.0,5120.0,8601.6, Job completed successfully
468,469,application_1513303661803_24416_asrd.cp.big.data.services.team.log,1513800359.0, 17/12/20 20:06:04,1513800364,5, 17/12/20 20:05:55,12288.0,6144.0,8601.6, Job completed successfully
470,471,application_1513303661803_23729_asrd.cp.big.data.services.team.log,1513789725.0, 17/12/20 17:08:49,1513789729,4, 17/12/20 17:08:42,12288.0,6144.0,8601.6, Job completed successfully
473,474,application_1513303661803_24393_asrd.cp.big.data.services.team.log,1513800069.0, 17/12/20 20:01:14,1513800074,5, 17/12/20 20:01:05,512.0,512.0,143.6, Job completed successfully
474,475,application_1513303661803_19078_asrd.cp.big.data.services.team.log,1513653310.0, 17/12/19 03:15:15,1513653315,5, 17/12/19 03:15:06,12288.0,12480.0,8601.6, Job completed successfully
475,476,application_1513303661803_23869_asrd.cp.big.data.services.team.log,1513791474.0, 17/12/20 17:37:59,1513791479,5, 17/12/20 17:37:51,12288.0,6144.0,8601.6, Job completed successfully
476,477,application_1513303661803_17856_asrd.cp.big.data.services.team.log,1513635107.0, 17/12/18 22:11:51,1513635111,4, 17/12/18 22:11:42,12288.0,10240.0,8601.6, Job completed successfully
478,479,application_1513303661803_20562_asrd.cp.big.data.services.team.log,1513714867.0, 17/12/19 20:21:12,1513714872,5, 17/12/19 20:21:00,15360.0,6144.0,10854.4, Job completed successfully
479,480,application_1513303661803_24499_asrd.cp.big.data.services.team.log,1513810856.0, 17/12/20 23:01:01,1513810861,5, 17/12/20 23:00:52,512.0,512.0,143.6, Job completed successfully
480,481,application_1513303661803_21588_asrd.cp.big.data.services.team.log,1513739140.0, 17/12/20 03:05:44,1513739144,4, 17/12/20 03:05:36,12288.0,6144.0,8601.6, Job completed successfully
481,482,application_1513303661803_17914_asrd.cp.big.data.services.team.log,1513636737.0, 17/12/18 22:39:01,1513636741,4, 17/12/18 22:38:52,12288.0,10240.0,8601.6, Job completed successfully
482,483,application_1513303661803_18626_asrd.cp.big.data.services.team.log,,,,, 17/12/19 01:01:58,12288.0,10240.0,8601.6, Job failed
483,484,application_1513303661803_18856_asrd.cp.big.data.services.team.log,1513649993.0,,,, 17/12/19 02:19:46,12288.0,12480.0,8601.6, Job failed
484,485,application_1513303661803_21538_asrd.cp.big.data.services.team.log,1513738623.0, 17/12/20 02:57:08,1513738628,5, 17/12/20 02:56:59,15360.0,10240.0,10854.4, Job completed successfully
485,486,application_1513303661803_25144_asrd.cp.big.data.services.team.log,1513822041.0, 17/12/21 02:07:27,1513822047,6, 17/12/21 02:07:16,12288.0,12480.0,8601.6, Job completed successfully
488,489,application_1513303661803_18591_asrd.cp.big.data.services.team.log,1513645273.0, 17/12/19 01:01:18,1513645278,5, 17/12/19 01:01:07,12288.0,6144.0,8601.6, Job failed
489,490,application_1513303661803_23890_asrd.cp.big.data.services.team.log,1513791874.0, 17/12/20 17:44:39,1513791879,5, 17/12/20 17:44:31,12288.0,6144.0,8601.6, Job completed successfully
491,492,application_1513303661803_25313_asrd.cp.big.data.services.team.log,1513825546.0, 17/12/21 03:05:51,1513825551,5, 17/12/21 03:05:42,12288.0,12480.0,8601.6, Job completed successfully
494,495,application_1513303661803_21294_asrd.cp.big.data.services.team.log,1513733478.0, 17/12/20 01:31:44,1513733504,26, 17/12/20 01:31:14,15360.0,6144.0,10854.4, Job completed successfully
495,496,application_1513303661803_25812_asrd.cp.big.data.services.team.log,1513850454.0, 17/12/21 10:00:59,1513850459,5, 17/12/21 10:00:51,512.0,512.0,143.6, Job completed successfully
497,498,application_1513303661803_18806_asrd.cp.big.data.services.team.log,1513649069.0, 17/12/19 02:04:34,1513649074,5, 17/12/19 02:04:25,12288.0,6144.0,8601.6, Job completed successfully
498,499,application_1513303661803_24351_asrd.cp.big.data.services.team.log,1513798602.0, 17/12/20 19:36:47,1513798607,5, 17/12/20 19:36:38,12288.0,6144.0,8601.6, Job completed successfully
500,501,application_1513303661803_24430_sai.medikonda.log,1513801166.0, 17/12/20 20:19:31,1513801171,5, 17/12/20 20:19:21,12288.0,6144.0,8601.6, Job failed
509,510,application_1513303661803_20474_asrd.cp.big.data.services.team.log,1513711640.0, 17/12/19 19:27:40,1513711660,20, 17/12/19 19:27:16,3072.0,10240.0,1983.0, Job completed successfully
512,513,application_1513303661803_25799_asrd.cp.big.data.services.team.log,1513847143.0, 17/12/21 09:05:49,1513847149,6, 17/12/21 09:05:39,5120.0,8192.0,3481.6, Job failed
513,514,application_1513303661803_21840_asrd.cp.big.data.services.team.log,1513745491.0, 17/12/20 04:51:36,1513745496,5, 17/12/20 04:51:27,12288.0,10240.0,8601.6, Job failed
514,515,application_1513303661803_18546_asrd.cp.big.data.services.team.log,1513644428.0, 17/12/19 00:47:13,1513644433,5, 17/12/19 00:47:02,12288.0,6144.0,8601.6, Job completed successfully
515,516,application_1513303661803_19369_asrd.cp.big.data.services.team.log,1513663286.0, 17/12/19 06:01:31,1513663291,5, 17/12/19 06:01:22,6144.0,3072.0,4198.4, Job completed successfully
516,517,application_1513303661803_17960_asrd.cp.big.data.services.team.log,1513637424.0, 17/12/18 22:50:29,1513637429,5, 17/12/18 22:50:19,12288.0,10240.0,8601.6, Job completed successfully
520,521,application_1513303661803_18152_asrd.cp.big.data.services.team.log,1513641711.0, 17/12/19 00:01:57,1513641717,6, 17/12/19 00:01:45,6144.0,3072.0,4198.4, Job completed successfully
522,523,application_1513303661803_18832_asrd.cp.big.data.services.team.log,1513649665.0, 17/12/19 02:14:31,1513649671,6, 17/12/19 02:14:18,12288.0,6144.0,8601.6, Job completed successfully
523,524,application_1513303661803_20926_asrd.cp.big.data.services.team.log,1513729248.0, 17/12/20 00:20:53,1513729253,5, 17/12/20 00:20:44,6144.0,4096.0,4198.4, Job completed successfully
528,529,application_1513303661803_20658_asrd.cp.big.data.services.team.log,1513720849.0, 17/12/19 22:00:54,1513720854,5, 17/12/19 22:00:46,512.0,512.0,143.6, Job completed successfully
529,530,application_1513303661803_21240_asrd.cp.big.data.services.team.log,1513732009.0, 17/12/20 01:06:54,1513732014,5, 17/12/20 01:06:45,20480.0,10240.0,14540.8, Job completed successfully
530,531,application_1513303661803_23564_asrd.cp.big.data.services.team.log,1513787873.0, 17/12/20 16:37:58,1513787878,5, 17/12/20 16:37:49,12288.0,6144.0,8601.6, Job completed successfully
531,532,application_1513303661803_19742_asrd.cp.big.data.services.team.log,1513692294.0, 17/12/19 14:04:59,1513692299,5, 17/12/19 14:04:51,18432.0,22528.0,13004.8, Job completed successfully
536,537,application_1513303661803_25099_asrd.cp.big.data.services.team.log,1513821687.0, 17/12/21 02:01:33,1513821693,6, 17/12/21 02:01:23,6144.0,3072.0,4198.4, Job completed successfully
540,541,application_1513303661803_20584_asrd.cp.big.data.services.team.log,1513716078.0, 17/12/19 20:41:23,1513716083,5, 17/12/19 20:41:15,12288.0,12288.0,8601.6, Job completed successfully
541,542,application_1513303661803_24257_asrd.cp.big.data.services.team.log,1513796503.0, 17/12/20 19:01:59,1513796519,16, 17/12/20 19:01:38,12288.0,16384.0,8601.6, Job completed successfully
542,543,application_1513303661803_26144_asrd.cp.big.data.services.team.log,1513869678.0, 17/12/21 15:21:25,1513869685,7, 17/12/21 15:21:15,12288.0,10240.0,8601.6, Job completed successfully
543,544,application_1513303661803_20409_asrd.cp.big.data.services.team.log,1513710102.0, 17/12/19 19:01:47,1513710107,5, 17/12/19 19:01:37,12288.0,16384.0,8601.6, Job completed successfully
546,547,application_1513303661803_23723_asrd.cp.big.data.services.team.log,1513789693.0, 17/12/20 17:08:18,1513789698,5, 17/12/20 17:08:10,12288.0,6144.0,8601.6, Job completed successfully
548,549,application_1513303661803_19162_asrd.cp.big.data.services.team.log,1513653988.0, 17/12/19 03:27:36,1513654056,68, 17/12/19 03:26:23,5120.0,5120.0,3481.6, Job completed successfully
549,550,application_1513303661803_20415_asrd.cp.big.data.services.team.log,1513710115.0, 17/12/19 19:02:00,1513710120,5, 17/12/19 19:01:51,12288.0,10240.0,8601.6, Job completed successfully
551,552,application_1513303661803_20618_asrd.cp.big.data.services.team.log,1513717277.0, 17/12/19 21:01:23,1513717283,6, 17/12/19 21:01:12,512.0,512.0,143.6, Job completed successfully
552,553,application_1513303661803_21766_asrd.cp.big.data.services.team.log,1513742479.0, 17/12/20 04:01:25,1513742485,6, 17/12/20 04:01:14,6144.0,3072.0,4198.4, Job completed successfully
554,555,application_1513303661803_22128_asrd.cp.big.data.services.team.log,1513749974.0, 17/12/20 06:06:19,1513749979,5, 17/12/20 06:06:09,12288.0,6144.0,8601.6, Job completed successfully
557,558,application_1513303661803_24544_asrd.cp.big.data.services.team.log,1513814478.0, 17/12/21 00:01:25,1513814485,7, 17/12/21 00:01:12,512.0,512.0,143.6, Job completed successfully
558,559,application_1513303661803_25081_asrd.cp.big.data.services.team.log,1513821653.0, 17/12/21 02:00:58,1513821658,5, 17/12/21 02:00:50,512.0,512.0,143.6, Job completed successfully
559,560,application_1513303661803_24500_asrd.cp.big.data.services.team.log,1513810856.0, 17/12/20 23:01:02,1513810862,6, 17/12/20 23:00:52,12288.0,3072.0,8601.6, Job completed successfully
563,564,application_1513303661803_23013_asrd.cp.big.data.services.team.log,1513781419.0, 17/12/20 14:52:36,1513781556,137, 17/12/20 14:50:15,12288.0,20480.0,8601.6, Job completed successfully
565,566,application_1513303661803_19666_asrd.cp.big.data.services.team.log,1513688508.0, 17/12/19 13:01:56,1513688516,8, 17/12/19 13:01:41,6144.0,3072.0,4198.4, Job completed successfully
566,567,application_1513303661803_24447_asrd.cp.big.data.services.team.log,1513803669.0, 17/12/20 21:01:14,1513803674,5, 17/12/20 21:01:05,512.0,512.0,143.6, Job completed successfully
