,Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory_MB,spark_executor_memory_MB,memoryStore_capacity_MB,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
68,application_1513303661803_21812_asrd.cp.big.data.services.team.log,1513743598.0, 17/12/20 04:20:06,1513743606,8, 17/12/20 04:19:52,1513743592,12288.0,1024.0,8601.6, Job completed successfully, 17/12/20 04:22:39,1513743759,,,6,153,
69,application_1513303661803_19559_asrd.cp.big.data.services.team.log,1513677648.0, 17/12/19 10:00:53,1513677653,5, 17/12/19 10:00:45,1513677645,512.0,512.0,143.6, Job completed successfully, 17/12/19 10:01:13,1513677673,,,3,20,
70,application_1513303661803_22371_asrd.cp.big.data.services.team.log,1513753284.0, 17/12/20 07:01:30,1513753290,6, 17/12/20 07:01:18,1513753278,512.0,512.0,143.6, Job completed successfully, 17/12/20 07:01:48,1513753308,,,6,18,
71,application_1513303661803_18544_asrd.cp.big.data.services.team.log,,,,,,,,,511.5,,,,,,,,
72,application_1513303661803_19241_asrd.cp.big.data.services.team.log,,,,,,,,,2764.8,,,,,,,,
73,application_1513303661803_26208_asrd.cp.big.data.services.team.log,1513871287.0, 17/12/21 15:48:16,1513871296,9, 17/12/21 15:48:00,1513871280,12288.0,1024.0,8601.6, Job completed successfully, 17/12/21 15:48:48,1513871328,,,7,32,
74,application_1513303661803_24431_sai.medikonda.log,,,,,,,,,4198.4,,,,,,,,
75,application_1513303661803_20217_asrd.cp.big.data.services.team.log,,,,,,,,,2764.8,,,,,,,,
76,application_1513303661803_22746_asrd.cp.big.data.services.team.log,1513771270.0, 17/12/20 12:01:15,1513771275,5, 17/12/20 12:01:05,1513771265,512.0,512.0,143.6, Job completed successfully, 17/12/20 12:01:35,1513771295,,,5,20,
77,application_1513303661803_20183_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
78,application_1513303661803_24472_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
79,application_1513303661803_24021_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
80,application_1513303661803_28012_asrd.cp.big.data.services.team.log,1513940668.0, 17/12/22 11:04:34,1513940674,6, 17/12/22 11:04:24,1513940664,12288.0,6144.0,8601.6, Job completed successfully, 17/12/22 11:05:06,1513940706,,,4,32,
81,application_1513303661803_20514_asrd.cp.big.data.services.team.log,1513713661.0, 17/12/19 20:01:06,1513713666,5, 17/12/19 20:00:55,1513713655,512.0,512.0,143.6, Job completed successfully, 17/12/19 20:01:30,1513713690,,,6,24,
82,application_1513303661803_23429_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
83,application_1513303661803_23092_asrd.cp.big.data.services.team.log,1513783221.0, 17/12/20 15:20:33,1513783233,12, 17/12/20 15:20:17,1513783217,15360.0,10240.0,10854.4, Job completed successfully, 17/12/20 15:25:51,1513783551,,,4,318,
84,application_1513303661803_18866_asrd.cp.big.data.services.team.log,,,,,,,,,8704.0,,,,,,,,
85,application_1513303661803_21959_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
86,application_1513303661803_22641_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
87,application_1513303661803_19600_asrd.cp.big.data.services.team.log,1513681276.0, 17/12/19 11:01:21,1513681281,5, 17/12/19 11:01:09,1513681269,512.0,512.0,143.6, Job completed successfully, 17/12/19 11:01:41,1513681301,,,7,20,
88,application_1513303661803_18141_asrd.cp.big.data.services.team.log,1513641680.0, 17/12/19 00:01:29,1513641689,9, 17/12/19 00:01:12,1513641672,3072.0,3072.0,1983.0, Job completed successfully, 17/12/19 00:03:21,1513641801,,,8,112,
89,application_1513303661803_19303_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
90,application_1513303661803_20485_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
91,application_1513303661803_20914_asrd.cp.big.data.services.team.log,1513729076.0, 17/12/20 00:18:08,1513729088,12, 17/12/20 00:17:52,1513729072,12288.0,12288.0,8601.6, Job failed,,, 17/12/20 00:19:06,1513729146,4,,58
92,application_1513303661803_25866_asrd.cp.big.data.services.team.log,1513854408.0, 17/12/21 11:06:53,1513854413,5, 17/12/21 11:06:44,1513854404,12288.0,6144.0,8601.6, Job completed successfully, 17/12/21 11:07:12,1513854432,,,4,19,
93,application_1513303661803_20393_asrd.cp.big.data.services.team.log,1513710082.0, 17/12/19 19:01:27,1513710087,5, 17/12/19 19:01:16,1513710076,12288.0,12288.0,8601.6, Job completed successfully, 17/12/19 19:32:40,1513711960,,,6,1873,
94,application_1513303661803_21932_asrd.cp.big.data.services.team.log,1513747153.0, 17/12/20 05:19:19,1513747159,6, 17/12/20 05:19:04,1513747144,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 05:25:15,1513747515,,,9,356,
95,application_1513303661803_19536_asrd.cp.big.data.services.team.log,1513676597.0, 17/12/19 09:43:23,1513676603,6, 17/12/19 09:43:13,1513676593,12288.0,10240.0,8601.6, Job completed successfully, 17/12/19 09:44:48,1513676688,,,4,85,
96,application_1513303661803_23459_asrd.cp.big.data.services.team.log,1513786775.0, 17/12/20 16:19:40,1513786780,5, 17/12/20 16:19:31,1513786771,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 16:36:50,1513787810,,,4,1030,
97,application_1513303661803_23571_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
98,application_1513303661803_23313_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
99,application_1513303661803_21318_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
100,application_1513303661803_18522_asrd.cp.big.data.services.team.log,,,,,,,,,13004.8,,,,,,,,
101,application_1513303661803_19186_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
102,application_1513303661803_23227_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
103,application_1513303661803_22557_asrd.cp.big.data.services.team.log,1513760451.0, 17/12/20 09:00:56,1513760456,5, 17/12/20 09:00:47,1513760447,12288.0,3072.0,8601.6, Job completed successfully, 17/12/20 09:01:17,1513760477,,,4,21,
104,application_1513303661803_26769_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
105,application_1513303661803_20520_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
106,application_1513303661803_18625_asrd.cp.big.data.services.team.log,,,,, 17/12/19 01:01:56,1513645316,12288.0,10240.0,8601.6, Job failed,,, 17/12/19 01:02:02,1513645322,,,
107,application_1513303661803_26182_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
108,application_1513303661803_22466_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
109,application_1513303661803_23546_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
110,application_1513303661803_21158_asrd.cp.big.data.services.team.log,1513731142.0, 17/12/20 00:52:27,1513731147,5, 17/12/20 00:52:18,1513731138,12288.0,1024.0,8601.6, Job completed successfully, 17/12/20 01:02:29,1513731749,,,4,602,
111,application_1513303661803_28001_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
112,application_1513303661803_19280_asrd.cp.big.data.services.team.log,1513658534.0, 17/12/19 04:42:19,1513658539,5, 17/12/19 04:42:09,1513658529,5120.0,5120.0,3481.6, Job completed successfully, 17/12/19 05:02:55,1513659775,,,5,1236,
113,application_1513303661803_18957_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
114,application_1513303661803_19535_asrd.cp.big.data.services.team.log,1513676595.0, 17/12/19 09:43:21,1513676601,6, 17/12/19 09:43:10,1513676590,12288.0,10240.0,8601.6, Job completed successfully, 17/12/19 09:51:18,1513677078,,,5,477,
115,application_1513303661803_21111_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
116,application_1513303661803_20380_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
117,application_1513303661803_23087_asrd.cp.big.data.services.team.log,1513783159.0, 17/12/20 15:19:25,1513783165,6, 17/12/20 15:19:15,1513783155,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 15:20:03,1513783203,,,4,38,
118,application_1513303661803_25331_asrd.cp.big.data.services.team.log,,,,,,,,,8704.0,,,,,,,,
119,application_1513303661803_17757_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
120,application_1513303661803_21599_asrd.cp.big.data.services.team.log,1513739160.0, 17/12/20 03:06:05,1513739165,5, 17/12/20 03:05:55,1513739155,12288.0,12480.0,8601.6, Job completed successfully, 17/12/20 03:10:59,1513739459,,,5,294,
121,application_1513303661803_21222_asrd.cp.big.data.services.team.log,1513731782.0, 17/12/20 01:03:07,1513731787,5, 17/12/20 01:02:59,1513731779,12288.0,6144.0,8601.6, Job failed,,, 17/12/20 01:03:41,1513731821,3,,34
122,application_1513303661803_23825_asrd.cp.big.data.services.team.log,1513790832.0, 17/12/20 17:27:16,1513790836,4, 17/12/20 17:27:09,1513790829,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 17:33:38,1513791218,,,3,382,
123,application_1513303661803_20390_asrd.cp.big.data.services.team.log,1513710071.0, 17/12/19 19:01:16,1513710076,5, 17/12/19 19:01:07,1513710067,1024.0,1024.0,511.5, Job failed,,, 17/12/19 19:01:36,1513710096,4,,20
124,application_1513303661803_19046_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
125,application_1513303661803_20764_asrd.cp.big.data.services.team.log,1513728132.0, 17/12/20 00:02:21,1513728141,9, 17/12/20 00:02:06,1513728126,15360.0,12288.0,10854.4, Job completed successfully, 17/12/20 00:15:24,1513728924,,,6,783,
126,application_1513303661803_22783_asrd.cp.big.data.services.team.log,1513773060.0, 17/12/20 12:31:05,1513773065,5, 17/12/20 12:30:56,1513773056,20480.0,1024.0,14540.8, Job completed successfully, 17/12/20 12:32:14,1513773134,,,4,69,
127,application_1513303661803_18223_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
