Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory,spark_executor_memory,memoryStore_capacity,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
log_106179838.txt,1509928186, 17/11/06 00:29:53,1509928193,7, 17/11/06 00:29:40,1509928180, 12g, 6144M, 6.2GB, Job failed, NA, NA, 17/11/06 00:36:41,1509928601,6, NA,408
application_1513303661803_22704_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22018_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23534_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21142_asrd.cp.big.data.services.team.log,1513730888, 17/12/20 00:48:14,1513730894,6, 17/12/20 00:48:03,1513730883, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 00:50:21,1513731021, NA, NA,5,127, NA
application_1513303661803_22951_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_25126_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18735_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 14.2GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20468_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21178_asrd.cp.big.data.services.team.log,1513731683, 17/12/20 01:01:29,1513731689,6, 17/12/20 01:01:20,1513731680, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 01:03:43,1513731823, NA, NA,3,134, NA
